28 27 58.0  80 32 22.0                  AK2363                                  
28 27 40.0  80 32 25.0                  AK2370                                  
28 27 27.0  80 32 42.0                  AK2433                                  
28 27 35.0  80 32 17.0                  AK2374                                  
28 27 29.0  80 32 08.0                  AK5091                                  
28 27 22.0  80 31 59.0                  AK2384                                  
29 33 48.0  81 39 26.0                  AQ2556                                  
29 33 06.0  81 39 34.0                  AQ2557                                  
29 28 46.0  81 40 28.0                  AQ2571                                  
29 25 37.0  81 38 38.0                  AQ1540                                  
29 25 35.0  81 38 37.0                  AQ1541                                  
29 25 30.0  81 38 33.0                  AQ1542                                  
28 27 58.0  80 32 22.0                  AK2363                                  
28 27 40.0  80 32 25.0                  AK2370                                  
28 27 27.0  80 32 42.0                  AK2433                                  
28 27 35.0  80 32 17.0                  AK2374                                  
28 27 29.0  80 32 08.0                  AK5091                                  
28 27 22.0  80 31 59.0                  AK2384                                  
29 33 48.0  81 39 26.0                  AQ2556                                  
29 33 06.0  81 39 34.0                  AQ2557                                  
29 28 46.0  81 40 28.0                  AQ2571                                  
29 25 37.0  81 38 38.0                  AQ1540                                  
